interaction,ligand,receptor,ligand_means,ligand_props,receptor_means,receptor_props,morans,morans_pvals,mean,std
WNT11^FZD7,WNT11,FZD7,0.1360618,0.1703,0.06562244,0.09401666666666667,0.0066110087,0.0,0.013188234,0.51001084
WNT9A^FZD5_LRP5,WNT9A,FZD5_LRP5,0.03542145,0.05321666666666667,0.033436805,0.06385,0.006563335,0.0,0.013283331,0.35876983
BMP7^ACTR2,BMP7,ACTR2,0.3308056,0.38325,0.08111276,0.11535,0.0065469556,0.0,0.013446594,0.41634336
ADAM17^ERBB4,ADAM17,ERBB4,0.10988979,0.15166666666666667,0.09081395,0.1251,0.0065366747,0.0,0.01309899,0.41001397
WNT9A^FZD6_LRP6,WNT9A,FZD6_LRP6,0.03542145,0.05321666666666667,0.05586484,0.09471666666666667,0.0064261314,0.0,0.013204189,0.35031238
BMP8B^BMPR1B_BMPR2,BMP8B,BMPR1B_BMPR2,0.038029194,0.055433333333333334,0.036339063,0.06643333333333333,0.00634855,0.0,0.01301322,0.3980616
VEGFA^ITGAV,VEGFA,ITGAV,0.32484362,0.36878333333333335,0.04399407,0.0641,0.006281949,0.0,0.012167342,0.5032537
COL8A2^SLC4A11,COL8A2,SLC4A11,0.06039118,0.08755,0.046232782,0.068,0.006241284,0.0,0.012457806,0.35596874
GDF11^ACTR2,GDF11,ACTR2,0.34140033,0.39125,0.08111276,0.11535,0.0062363734,0.0,0.012749834,0.41006777
WNT11^FZD3,WNT11,FZD3,0.1360618,0.1703,0.10069914,0.1394,0.0061840136,0.0,0.012403541,0.49441656
EFNB3^EPHB3,EFNB3,EPHB3,0.052919246,0.07795,0.15658742,0.20776666666666666,0.0061431406,0.0,0.012477166,0.37072837
MDK^SDC3,MDK,SDC3,1.817091,0.9025166666666666,0.10908727,0.1472,0.006021149,0.0,0.0121414205,0.63715327
GPI^AMFR,GPI,AMFR,0.29259634,0.34468333333333334,0.050214864,0.07373333333333333,0.0059404997,0.0,0.011973614,0.42680782
AGTRAP^RACK1,AGTRAP,RACK1,0.21180142,0.27065,0.4441324,0.4755333333333333,0.0058568213,0.0,0.011716907,0.40543267
EFNB1^EPHB6,EFNB1,EPHB6,0.14746608,0.19625,0.28175825,0.3389666666666667,0.0057938797,0.0,0.011594517,0.40665203
ADAM10^NOTCH2,ADAM10,NOTCH2,0.059630286,0.08526666666666667,0.17976236,0.23445,0.005726401,0.0,0.011709132,0.3707429
SLIT2^SDC1,SLIT2,SDC1,0.0640315,0.0912,0.072289936,0.10475,0.0057123234,0.0,0.01152623,0.36313587
JAG1^NOTCH3,JAG1,NOTCH3,0.037382606,0.051616666666666665,1.1864551,0.8062166666666667,0.0056846975,0.0,0.013212304,0.49059233
HSPG2^PTPRS,HSPG2,PTPRS,0.07170774,0.09696666666666667,0.36837253,0.4196166666666667,0.0056679975,0.0,0.0114648,0.3671193
MXRA5^AGER,MXRA5,AGER,0.123324044,0.17063333333333333,0.07693995,0.10663333333333333,0.00564386,0.0,0.011407603,0.3623801
RGMA^NEO1,RGMA,NEO1,0.06747693,0.09696666666666667,0.25999188,0.31935,0.0056373165,0.0,0.011245111,0.39942512
WNT5A^LDLR,WNT5A,LDLR,0.04661613,0.05591666666666667,0.37404573,0.39968333333333333,0.005616033,0.0,0.011809982,0.5026166
WNT7A^FZD6_LRP6,WNT7A,FZD6_LRP6,0.05768167,0.08286666666666667,0.05586484,0.09471666666666667,0.0056140455,0.0,0.011490558,0.3792043
MXRA5^ILDR1,MXRA5,ILDR1,0.123324044,0.17063333333333333,0.037647095,0.05673333333333333,0.0055870353,0.0,0.011397873,0.35266832
SEMA4D^PLXNB2,SEMA4D,PLXNB2,0.17236234,0.22823333333333334,0.34820747,0.39521666666666666,0.00558598,0.0,0.011171349,0.40346935
CD99^PILRB,CD99,PILRB,0.17824352,0.23028333333333334,0.47200987,0.49393333333333334,0.005563236,0.0,0.011122931,0.40177342
CALM1^AQP6,CALM1,AQP6,0.09040737,0.1298,0.11756072,0.16105,0.0055264966,0.0,0.0111413,0.36596638
RGMA^BMPR2,RGMA,BMPR2,0.06747693,0.09696666666666667,0.23645577,0.29633333333333334,0.005525553,0.0,0.011084558,0.36525303
S100A4^EGFR,S100A4,EGFR,0.35689667,0.3834666666666667,0.10819267,0.14703333333333332,0.005475095,0.0,0.010926825,0.49989665
WNT7A^FZD7_LRP6,WNT7A,FZD7_LRP6,0.05768167,0.08286666666666667,0.040571854,0.06933333333333333,0.005470922,0.0,0.01096868,0.39396977
COPA^CD74,COPA,CD74,0.44569325,0.48238333333333333,1.0023346,0.70795,0.0054553244,0.0,0.010909006,0.6757849
CCN1^ITGB5,CCN1,ITGB5,0.477936,0.41501666666666664,0.0461282,0.06678333333333333,0.0054093054,0.0,0.0107716145,0.859936
CD55^ADGRE5,CD55,ADGRE5,0.2214286,0.27558333333333335,0.138665,0.18585,0.0053943684,0.0,0.010795496,0.38464594
EFNB3^EPHB4,EFNB3,EPHB4,0.052919246,0.07795,0.24897747,0.3086333333333333,0.005382223,0.0,0.010930642,0.3439581
JAG1^NOTCH1,JAG1,NOTCH1,0.037382606,0.051616666666666665,0.06374337,0.0857,0.0053721042,0.0,0.010225318,0.35875544
CDH1^LRP5,CDH1,LRP5,0.20450613,0.26721666666666666,0.17156333,0.22586666666666666,0.0053307284,0.0,0.010665977,0.3642977
APOE^LRP5,APOE,LRP5,0.8531935,0.6709666666666667,0.17156333,0.22586666666666666,0.0052944566,0.0,0.01058956,0.5557205
EFNB3^EPHB2,EFNB3,EPHB2,0.052919246,0.07795,0.07523986,0.10683333333333334,0.0052901697,0.0,0.01078128,0.35269263
LAMB3^DAG1,LAMB3,DAG1,0.13251689,0.17856666666666668,0.28329813,0.34446666666666664,0.005277959,0.0,0.010583697,0.3921703
